OrganismID,DomainID,DomainID
33114,IRD-144,1
33114,IRD-273,1
33114,IRD-281,1
33114,IRD-288,1
33114,IRD-29,1
33114,IRD-318,1
33114,IRD-343,1
33114,IRD-347,1
33114,IRD-348,1
33114,IRD-354,1
33114,IRD-361,1
33114,IRD-37,1
33114,IRD-377,1
33114,IRD-410,1
33114,IRD-422,1
33114,IRD-45,1
33114,IRD-451,1
33114,IRD-463,1
33114,IRD-473,1
33114,IRD-477,1
33114,IRD-506,1
33114,IRD-517,1
33114,IRD-538,1
33114,IRD-72,1
33114,IRD-83,1
33114,IRD-93,1
35889,IRD-160,2
35889,IRD-161,2
35889,IRD-162,2
35889,IRD-163,2
35889,IRD-164,2
35889,IRD-241,2
35889,IRD-440,2
35889,IRD-579,2
35889,IRD-580,2
35889,IRD-581,2
35889,IRD-610,2
35889,IRD-611,2
35889,IRD-612,2
36596,IRD-357,1
37682,IRD-400,1
39946,IRD-387,1
39947,IRD-387,2
40148,IRD-387,1
40149,IRD-384,1
49390,IRD-335,1
49390,IRD-366,1
49390,IRD-367,1
49390,IRD-680,1
49390,IRD-685,1
49451,IRD-615,6
49451,IRD-165,4
49451,IRD-166,4
49451,IRD-616,4
49451,IRD-169,3
49451,IRD-618,3
49451,IRD-619,3
49451,IRD-168,2
49451,IRD-508,2
49451,IRD-617,2
49451,IRD-167,1
49451,IRD-176,1
49451,IRD-214,1
49451,IRD-219,1
49451,IRD-220,1
49451,IRD-267,1
49451,IRD-293,1
49451,IRD-324,1
49451,IRD-346,1
49451,IRD-360,1
49451,IRD-42,1
49451,IRD-420,1
49451,IRD-428,1
49451,IRD-576,1
49451,IRD-587,1
49451,IRD-588,1
49451,IRD-79,1
49451,IRD-80,1
51351,IRD-310,1
63057,IRD-688,1
65489,IRD-387,1
69181,IRD-311,1
71139,IRD-356,1
74649,IRD-350,1
74649,IRD-353,1
74649,IRD-355,1
74649,IRD-369,1
74649,IRD-389,1
76336,IRD-244,1
76336,IRD-245,1
76336,IRD-246,1
76336,IRD-270,1
76336,IRD-441,1
76336,IRD-462,1
76336,IRD-492,1
76336,IRD-642,1
76336,IRD-657,1
76336,IRD-673,1
76336,IRD-77,1
77586,IRD-385,1
77586,IRD-388,1
79200,IRD-371,1
80379,IRD-87,2
80379,IRD-10,1
80379,IRD-122,1
80379,IRD-131,1
80379,IRD-134,1
80379,IRD-14,1
80379,IRD-143,1
80379,IRD-231,1
80379,IRD-234,1
80379,IRD-256,1
80379,IRD-283,1
80379,IRD-287,1
80379,IRD-294,1
80379,IRD-30,1
80379,IRD-317,1
80379,IRD-319,1
80379,IRD-344,1
80379,IRD-347,1
80379,IRD-349,1
80379,IRD-35,1
80379,IRD-354,1
80379,IRD-36,1
80379,IRD-361,1
80379,IRD-412,1
80379,IRD-414,1
80379,IRD-421,1
80379,IRD-43,1
80379,IRD-438,1
80379,IRD-44,1
80379,IRD-444,1
80379,IRD-461,1
80379,IRD-472,1
80379,IRD-503,1
80379,IRD-513,1
80379,IRD-518,1
80379,IRD-542,1
80379,IRD-543,1
80379,IRD-551,1
80379,IRD-68,1
80379,IRD-692,1
80379,IRD-88,1
81866,IRD-600,2
81866,IRD-185,1
81866,IRD-186,1
81866,IRD-187,1
81866,IRD-188,1
81866,IRD-189,1
81866,IRD-574,1
81866,IRD-636,1
81866,IRD-637,1
81866,IRD-638,1
81972,IRD-314,1
81985,IRD-312,1
88036,IRD-695,2
88036,IRD-351,1
88036,IRD-352,1
88036,IRD-682,1
88036,IRD-683,1
88036,IRD-684,1
88036,IRD-686,1
88036,IRD-694,1
88036,IRD-696,1
88036,IRD-697,1
107243,IRD-315,4
109376,IRD-311,1
109975,IRD-455,2
109975,IRD-460,2
109975,IRD-263,1
109975,IRD-277,1
109975,IRD-408,1
109975,IRD-436,1
109975,IRD-457,1
112509,IRD-333,1
118690,IRD-262,1
118690,IRD-664,1
118690,IRD-671,1
118701,IRD-221,1
118701,IRD-222,1
118701,IRD-223,1
118701,IRD-224,1
118701,IRD-510,1
118701,IRD-535,1
118701,IRD-589,1
118701,IRD-650,1
118701,IRD-651,1
118703,IRD-215,1
118703,IRD-216,1
118703,IRD-217,1
118703,IRD-258,1
118703,IRD-450,1
118703,IRD-509,1
118703,IRD-643,1
118703,IRD-644,1
118703,IRD-669,1
118704,IRD-635,2
118704,IRD-196,1
118704,IRD-197,1
118704,IRD-198,1
118704,IRD-199,1
118704,IRD-200,1
118704,IRD-533,1
118704,IRD-633,1
118704,IRD-634,1
118704,IRD-668,1
118709,IRD-211,1
118709,IRD-217,1
118709,IRD-218,1
118709,IRD-259,1
118709,IRD-449,1
118709,IRD-644,1
118709,IRD-648,1
118709,IRD-649,1
118709,IRD-670,1
118712,IRD-211,1
118712,IRD-225,1
118712,IRD-226,1
118712,IRD-260,1
118712,IRD-645,1
118712,IRD-646,1
118712,IRD-647,1
118712,IRD-663,1
118712,IRD-669,1
131158,IRD-372,1
131158,IRD-687,1
132261,IRD-698,1
157652,IRD-399,1
172790,IRD-236,1
172790,IRD-467,1
172790,IRD-487,1
180498,IRD-306,1
192259,IRD-339,1
192259,IRD-370,1
200300,IRD-227,1
200300,IRD-228,1
200300,IRD-271,1
200300,IRD-535,1
200300,IRD-590,1
200300,IRD-651,1
200300,IRD-652,1
200300,IRD-674,1
200300,IRD-81,1
200301,IRD-176,1
200301,IRD-577,1
200301,IRD-666,1
200306,IRD-211,1
200306,IRD-212,1
200306,IRD-213,1
200306,IRD-257,1
200306,IRD-269,1
200306,IRD-449,1
200306,IRD-639,1
200306,IRD-640,1
200306,IRD-641,1
200306,IRD-662,1
200306,IRD-672,1
200315,IRD-631,2
200315,IRD-169,1
200315,IRD-193,1
200315,IRD-194,1
200315,IRD-195,1
200315,IRD-196,1
200315,IRD-619,1
200315,IRD-629,1
200315,IRD-630,1
200315,IRD-667,1
200316,IRD-609,4
200316,IRD-154,2
200316,IRD-155,2
200316,IRD-156,2
200316,IRD-157,2
200316,IRD-158,2
200316,IRD-159,2
200316,IRD-591,2
200316,IRD-592,2
200316,IRD-593,2
200316,IRD-607,2
200316,IRD-608,2
200316,IRD-61,2
200316,IRD-665,2
