Taxon,Mnemonic,Scientific name,Common name,Synonym,Other Names,Reviewed,Rank,Lineage,Parent,Virus hosts,Organism,Genus,Species,Solanaceae
192259,,Genlisea aurea,,,Genlisea aurea A.St.Hil.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; asterids; lamiids; Lamiales; Lentibulariaceae; Genlisea,192258.0,,Genlisea aurea,Genlisea,aurea,0
28930,FAGSY,Fagus sylvatica,Beechnut,,European beech; Fagus sylvatica L.; Fagus sylvestris; Fagus sylvestris Gaertn.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Fagaceae; Fagus,21024.0,,Fagus sylvatica (Beechnut),Fagus,sylvatica,0
51240,JUGRE,Juglans regia,English walnut,,Juglans regia L.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Fagales; Juglandaceae; Juglans,16718.0,,Juglans regia (English walnut),Juglans,regia,0
3694,POPTR,Populus trichocarpa,Western balsam poplar,Populus balsamifera subsp. trichocarpa,Populus balsamifera subsp. trichocarpa (Torr. & A.Gray) Brayshaw; Populus thrichocarpa; Populus trichocarpa Torr. & A.Gray; Populus_trichocarpa; black cottonwood,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus,3689.0,,Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),Populus,trichocarpa,0
3988,RICCO,Ricinus communis,Castor bean,,Ricimus communis; Ricinis communis; Ricinus communis L.; Ricinus comunis; Ricinus sanguineus; Ricinus sanguineus hort. ex Groenl.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Euphorbiaceae; Acalyphoideae; Acalypheae; Ricinus,3987.0,,Ricinus communis (Castor bean),Ricinus,communis,0
43335,POPAL,Populus alba,White poplar,,Populus alba L.; abele; gin-doro; silver-leaf poplar; xin bai yang,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Salicaceae; Saliceae; Populus,3689.0,,Populus alba (White poplar),Populus,alba,0
3983,MANES,Manihot esculenta,Cassava,Jatropha manihot,Manihot esculenta Crantz; Manihot esculenta0; Manihot utilissima; manioc; tapioca; yuca,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Euphorbiaceae; Crotonoideae; Manihoteae; Manihot,3982.0,,Manihot esculenta (Cassava) (Jatropha manihot),Manihot,esculenta,0
180498,JATCU,Jatropha curcas,Barbados nut,,Jatropa curcas; Jatropha curcas L.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Malpighiales; Euphorbiaceae; Crotonoideae; Jatropheae; Jatropha,3995.0,,Jatropha curcas (Barbados nut),Jatropha,curcas,0
3476,PARAD,Parasponia andersonii,,Sponia andersonii,Parasponia andersoni; Parasponia andersonii Planch.,reviewed,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Parasponia,3475.0,,Parasponia andersonii (Sponia andersonii),Parasponia,andersonii,0
63057,TREOI,Trema orientale,Charcoal tree,Celtis orientalis,"Celtis orientalis L., 1753; Sponia africana; Sponia africana Planch., 1848; Trema africana; Trema africanum; Trema africanum (Planch.) Blume, 1856; Trema orientale (L.) Blume, 1856; Trema orientalis",annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Cannabaceae; Trema,3479.0,,Trema orientale (Charcoal tree) (Celtis orientalis),Trema,orientale,0
981085,,Morus notabilis,,,Morus motabilis; Morus notabilis C.K.Schneid.,annotated,Species,Eukaryota; Viridiplantae; Streptophyta; Embryophyta; Tracheophyta; Spermatophyta; Magnoliophyta; eudicotyledons; Gunneridae; Pentapetalae; rosids; fabids; Rosales; Moraceae; Morus,3497.0,,Morus notabilis,Morus,notabilis,0
