DomainID,OrganismID,OrganismID
IRD-214,49451,1
IRD-215,118703,1
IRD-216,118703,1
IRD-217,118703,1
IRD-217,118709,1
IRD-218,118709,1
IRD-219,49451,1
IRD-22,4113,1
IRD-220,49451,1
IRD-221,118701,1
IRD-222,118701,1
IRD-223,118701,1
IRD-224,118701,1
IRD-225,118712,1
IRD-226,118712,1
IRD-227,200300,1
IRD-228,200300,1
IRD-229,4087,1
IRD-23,4113,2
IRD-230,4100,1
IRD-231,80379,1
IRD-232,4072,5
IRD-233,4072,1
IRD-234,80379,1
IRD-236,172790,1
IRD-237,4113,3
IRD-238,4113,1
IRD-239,4113,2
IRD-24,4113,2
IRD-240,4113,4
IRD-241,35889,2
IRD-242,4097,1
IRD-243,4097,1
IRD-244,76336,1
IRD-245,76336,1
IRD-246,76336,1
IRD-247,4113,1
IRD-248,4113,3
IRD-249,4108,1
IRD-25,4113,3
IRD-250,4113,1
IRD-251,4096,1
IRD-252,4093,2
IRD-253,4087,2
IRD-254,4097,2
IRD-254,4096,1
IRD-255,4097,3
IRD-255,4096,1
IRD-256,80379,1
IRD-257,200306,1
IRD-258,118703,1
IRD-259,118709,1
IRD-26,4108,1
IRD-260,118712,1
IRD-261,4100,1
IRD-262,118690,1
IRD-263,109975,1
IRD-264,4112,1
IRD-265,4097,2
IRD-266,4096,1
IRD-267,49451,1
IRD-268,4097,1
IRD-269,200306,1
IRD-27,4113,1
IRD-270,76336,1
IRD-271,200300,1
IRD-272,4112,1
IRD-273,33114,1
IRD-274,4113,1
IRD-275,4081,1
IRD-275,4083,1
IRD-276,4081,1
IRD-277,109975,1
IRD-278,4108,1
IRD-278,4113,1
IRD-279,4113,1
IRD-28,4072,2
IRD-280,4072,1
IRD-281,33114,1
IRD-282,4072,1
IRD-283,80379,1
IRD-284,267555,1
IRD-285,4081,2
IRD-285,4083,1
IRD-286,4113,1
IRD-287,80379,1
IRD-288,33114,1
IRD-289,4072,1
IRD-29,33114,1
IRD-290,4081,1
IRD-291,4081,1
IRD-292,4097,2
IRD-292,4096,1
IRD-293,49451,1
IRD-294,80379,1
IRD-295,4072,1
IRD-296,4072,1
IRD-297,4113,2
IRD-297,4083,1
IRD-298,4113,1
IRD-299,4112,1
IRD-3,4112,2
IRD-30,80379,1
IRD-300,4155,1
IRD-301,3694,1
IRD-302,3983,1
IRD-303,3983,1
IRD-304,3988,1
IRD-306,180498,1
IRD-307,3702,2
IRD-308,29760,1
IRD-309,1088818,1
IRD-31,4113,1
IRD-310,3711,1
IRD-310,51351,1
IRD-311,3712,1
IRD-311,69181,1
IRD-311,109376,1
IRD-312,81985,1
IRD-313,28930,1
IRD-314,81972,1
IRD-315,107243,4
IRD-316,4072,1
IRD-317,80379,1
IRD-318,33114,1
IRD-319,80379,1
IRD-32,4081,2
IRD-320,4113,1
IRD-321,4097,1
IRD-322,4097,1
IRD-323,4096,1
IRD-324,49451,1
IRD-325,3755,2
IRD-325,3760,2
IRD-327,22663,1
IRD-329,4565,1
IRD-329,4572,1
IRD-329,200361,1
IRD-33,4113,1
