DomainID,Species,Species
IRD-158,Nicotiana obtusifolia,1
IRD-159,Nicotiana obtusifolia,1
IRD-16,Solanum tuberosum ,1
IRD-160,Nicotiana glutinosa ,1
IRD-161,Nicotiana glutinosa ,1
IRD-162,Nicotiana glutinosa ,1
IRD-163,Nicotiana glutinosa ,1
IRD-164,Nicotiana glutinosa ,1
IRD-165,Nicotiana attenuata ,1
IRD-166,Nicotiana attenuata ,1
IRD-167,Nicotiana attenuata ,1
IRD-168,Nicotiana attenuata ,1
IRD-169,Nicotiana attenuata ,1
IRD-169,Nicotiana pauciflora,1
IRD-17,Olea europaea ,1
IRD-170,Nicotiana rustica ,1
IRD-171,Nicotiana rustica ,1
IRD-172,Nicotiana rustica ,1
IRD-172,Nicotiana tabacum ,1
IRD-173,Nicotiana rustica ,1
IRD-174,Nicotiana sylvestris ,1
IRD-175,Nicotiana sylvestris ,1
IRD-176,Nicotiana acuminata ,1
IRD-176,Nicotiana attenuata ,1
IRD-176,Nicotiana corymbosa,1
IRD-176,Nicotiana sylvestris ,1
IRD-177,Nicotiana sylvestris ,1
IRD-178,Nicotiana sylvestris ,1
IRD-179,Nicotiana acuminata ,1
IRD-18,Solanum lycopersicum ,1
IRD-180,Nicotiana acuminata ,1
IRD-181,Nicotiana acuminata ,1
IRD-182,Nicotiana acuminata ,1
IRD-183,Nicotiana acuminata ,1
IRD-184,Nicotiana tabacum ,1
IRD-185,Nicotiana clevelandii ,1
IRD-185,Nicotiana quadrivalvis,1
IRD-186,Nicotiana clevelandii ,1
IRD-186,Nicotiana quadrivalvis,1
IRD-187,Nicotiana clevelandii ,1
IRD-188,Nicotiana clevelandii ,1
IRD-189,Nicotiana clevelandii ,1
IRD-189,Nicotiana quadrivalvis,1
IRD-19,Solanum lycopersicum ,1
IRD-190,Nicotiana quadrivalvis,1
IRD-191,Nicotiana alata ,1
IRD-192,Nicotiana alata ,1
IRD-193,Nicotiana pauciflora,1
IRD-194,Nicotiana pauciflora,1
IRD-195,Nicotiana pauciflora,1
IRD-196,Nicotiana miersii,1
IRD-196,Nicotiana pauciflora,1
IRD-197,Nicotiana miersii,1
IRD-198,Nicotiana miersii,1
IRD-199,Nicotiana miersii,1
IRD-199,Nicotiana sylvestris ,1
IRD-2,Solanum nigrum ,1
IRD-20,Solanum chilense ,1
IRD-20,Solanum lycopersicum ,1
IRD-200,Nicotiana miersii,1
IRD-201,Nicotiana tabacum ,1
IRD-202,Nicotiana tabacum ,1
IRD-203,Nicotiana tabacum ,1
IRD-204,Nicotiana tabacum ,1
IRD-205,Nicotiana tabacum ,1
IRD-206,Nicotiana tabacum ,1
IRD-207,Nicotiana tabacum ,1
IRD-208,Nicotiana tabacum ,1
IRD-209,Nicotiana tabacum ,1
IRD-21,Solanum tuberosum ,1
IRD-210,Nicotiana tabacum ,1
IRD-211,Nicotiana benthamiana,1
IRD-211,Nicotiana occidentalis subsp. hesperis,1
IRD-211,Nicotiana simulans,1
IRD-211,Nicotiana umbratica,1
IRD-212,Nicotiana occidentalis subsp. hesperis,1
IRD-213,Nicotiana occidentalis subsp. hesperis,1
IRD-214,Nicotiana attenuata ,1
IRD-215,Nicotiana megalosiphon,1
IRD-216,Nicotiana megalosiphon,1
IRD-217,Nicotiana megalosiphon,1
IRD-217,Nicotiana simulans,1
IRD-218,Nicotiana simulans,1
IRD-219,Nicotiana attenuata ,1
IRD-22,Solanum tuberosum ,1
IRD-220,Nicotiana attenuata ,1
IRD-221,Nicotiana linearis,1
IRD-222,Nicotiana linearis,1
IRD-223,Nicotiana linearis,1
IRD-224,Nicotiana linearis,1
IRD-225,Nicotiana umbratica,1
