DomainID,Species,Species
IRD-665,Nicotiana obtusifolia,1
IRD-666,Nicotiana acuminata ,1
IRD-666,Nicotiana corymbosa,1
IRD-667,Nicotiana pauciflora,1
IRD-668,Nicotiana miersii,1
IRD-669,Nicotiana benthamiana,1
IRD-669,Nicotiana megalosiphon,1
IRD-669,Nicotiana umbratica,1
IRD-67,Capsicum annuum ,1
IRD-670,Nicotiana simulans,1
IRD-671,Nicotiana cavicola,1
IRD-672,Nicotiana occidentalis subsp. hesperis,1
IRD-673,Nicotiana repanda,1
IRD-674,Nicotiana spegazzinii,1
IRD-675,Nicotiana sylvestris ,1
IRD-676,Parasponia andersonii ,1
IRD-677,Dorcoceras hygrometricum,1
IRD-678,Handroanthus impetiginosus,1
IRD-679,Handroanthus impetiginosus,1
IRD-68,Capsicum chinense ,1
IRD-680,Coffea arabica ,1
IRD-680,Coffea canephora ,1
IRD-681,Morus notabilis,1
IRD-682,Selaginella moellendorffii ,1
IRD-683,Selaginella moellendorffii ,1
IRD-684,Selaginella moellendorffii ,1
IRD-685,Coffea canephora ,1
IRD-686,Selaginella moellendorffii ,1
IRD-687,Saccharum hybrid cultivar R570,1
IRD-688,Trema orientale ,1
IRD-689,Solanum tuberosum ,1
IRD-69,Solanum lycopersicum ,1
IRD-690,Solanum tuberosum ,1
IRD-691,Solanum chacoense ,1
IRD-692,Capsicum annuum ,1
IRD-692,Capsicum chinense ,1
IRD-693,Capsicum annuum ,1
IRD-694,Selaginella moellendorffii ,1
IRD-695,Selaginella moellendorffii ,1
IRD-696,Selaginella moellendorffii ,1
IRD-697,Selaginella moellendorffii ,1
IRD-698,Cuscuta australis,1
IRD-698,Cuscuta campestris,1
IRD-7,Solanum lycopersicum ,1
IRD-70,Solanum lycopersicum ,1
IRD-71,Solanum lycopersicum ,1
IRD-72,Capsicum baccatum ,1
IRD-73,Solanum lycopersicum ,1
IRD-74,Nicotiana tabacum ,1
IRD-75,Nicotiana tabacum ,1
IRD-76,Nicotiana tabacum ,1
IRD-77,Nicotiana repanda,1
IRD-78,Capsicum annuum ,1
IRD-79,Nicotiana attenuata ,1
IRD-8,Solanum tuberosum ,1
IRD-80,Nicotiana attenuata ,1
IRD-81,Nicotiana spegazzinii,1
IRD-82,Capsicum annuum ,1
IRD-83,Capsicum annuum ,1
IRD-83,Capsicum baccatum ,1
IRD-84,Capsicum annuum ,1
IRD-85,Capsicum annuum ,1
IRD-86,Capsicum annuum ,1
IRD-87,Capsicum chinense ,1
IRD-88,Capsicum chinense ,1
IRD-89,Capsicum annuum ,1
IRD-9,Solanum tuberosum ,1
IRD-90,Capsicum annuum ,1
IRD-91,Capsicum annuum ,1
IRD-92,Capsicum annuum ,1
IRD-93,Capsicum annuum ,1
IRD-93,Capsicum baccatum ,1
IRD-94,Capsicum annuum ,1
IRD-95,Capsicum annuum ,1
IRD-96,Capsicum annuum ,1
IRD-97,Capsicum annuum ,1
IRD-98,Capsicum annuum ,1
IRD-99,Capsicum annuum ,1
