Organism,IRD
Parasponia andersonii (Sponia andersonii),IRD-676
Populus trichocarpa (Western balsam poplar) (Populus balsamifera subsp. trichocarpa),IRD-301
Prunus persica (Peach) (Amygdalus persica),IRD-325
Prunus persica (Peach) (Amygdalus persica),IRD-357
Prunus yedoensis var. nudiflora,IRD-358
Punica granatum (Pomegranate),IRD-327
Quercus suber (Cork oak),IRD-326
Quercus suber (Cork oak),IRD-328
Quercus suber (Cork oak),IRD-374
Ricinus communis (Castor bean),IRD-304
Rosa chinensis (China rose),IRD-350
Rosa chinensis (China rose),IRD-353
Rosa chinensis (China rose),IRD-355
Rosa chinensis (China rose),IRD-369
Rosa chinensis (China rose),IRD-389
Saccharum hybrid cultivar R570,IRD-372
Saccharum hybrid cultivar R570,IRD-687
Selaginella moellendorffii (Spikemoss),IRD-351
Selaginella moellendorffii (Spikemoss),IRD-352
Selaginella moellendorffii (Spikemoss),IRD-682
Selaginella moellendorffii (Spikemoss),IRD-683
Selaginella moellendorffii (Spikemoss),IRD-684
Selaginella moellendorffii (Spikemoss),IRD-686
Selaginella moellendorffii (Spikemoss),IRD-694
Selaginella moellendorffii (Spikemoss),IRD-695
Selaginella moellendorffii (Spikemoss),IRD-696
Selaginella moellendorffii (Spikemoss),IRD-697
Setaria italica (Foxtail millet) (Panicum italicum),IRD-362
Setaria italica (Foxtail millet) (Panicum italicum),IRD-363
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-263
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-277
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-408
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-436
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-455
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-457
Solanum americanum (American black nightshade) (Solanum nodiflorum),IRD-460
Solanum chacoense (Chaco potato),IRD-249
Solanum chacoense (Chaco potato),IRD-26
Solanum chacoense (Chaco potato),IRD-278
Solanum chacoense (Chaco potato),IRD-34
Solanum chacoense (Chaco potato),IRD-426
Solanum chacoense (Chaco potato),IRD-434
Solanum chacoense (Chaco potato),IRD-437
Solanum chacoense (Chaco potato),IRD-467
Solanum chacoense (Chaco potato),IRD-475
Solanum chacoense (Chaco potato),IRD-496
Solanum chacoense (Chaco potato),IRD-498
Solanum chacoense (Chaco potato),IRD-58
Solanum chacoense (Chaco potato),IRD-691
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-1
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-18
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-19
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-20
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-235
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-275
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-276
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-285
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-290
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-291
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-32
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-345
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-375
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-376
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-379
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-4
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-40
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-405
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-406
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-407
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-418
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-423
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-424
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-431
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-432
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-452
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-453
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-456
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-459
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-47
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-470
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-471
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-483
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-486
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-493
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-505
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-507
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-511
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-512
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-524
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-527
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-55
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-62
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-63
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-69
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-7
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-70
Solanum lycopersicum (Tomato) (Lycopersicon esculentum),IRD-73
Solanum melongena (Eggplant) (Aubergine),IRD-51
Solanum nigrum (Black nightshade),IRD-2
Solanum nigrum (Black nightshade),IRD-264
Solanum nigrum (Black nightshade),IRD-272
Solanum nigrum (Black nightshade),IRD-299
Solanum nigrum (Black nightshade),IRD-3
Solanum nigrum (Black nightshade),IRD-409
Solanum nigrum (Black nightshade),IRD-455
Solanum nigrum (Black nightshade),IRD-458
Solanum nigrum (Black nightshade),IRD-515
Solanum nigrum (Black nightshade),IRD-516
Solanum nigrum (Black nightshade),IRD-526
Solanum phureja,IRD-236
Solanum phureja,IRD-467
Solanum phureja,IRD-487
Solanum tuberosum (Potato),IRD-13
Solanum tuberosum (Potato),IRD-151
Solanum tuberosum (Potato),IRD-16
Solanum tuberosum (Potato),IRD-21
Solanum tuberosum (Potato),IRD-22
Solanum tuberosum (Potato),IRD-23
Solanum tuberosum (Potato),IRD-237
Solanum tuberosum (Potato),IRD-238
Solanum tuberosum (Potato),IRD-239
Solanum tuberosum (Potato),IRD-24
Solanum tuberosum (Potato),IRD-240
Solanum tuberosum (Potato),IRD-247
Solanum tuberosum (Potato),IRD-248
Solanum tuberosum (Potato),IRD-25
Solanum tuberosum (Potato),IRD-250
Solanum tuberosum (Potato),IRD-27
Solanum tuberosum (Potato),IRD-274
Solanum tuberosum (Potato),IRD-278
Solanum tuberosum (Potato),IRD-279
Solanum tuberosum (Potato),IRD-286
Solanum tuberosum (Potato),IRD-297
Solanum tuberosum (Potato),IRD-298
Solanum tuberosum (Potato),IRD-31
Solanum tuberosum (Potato),IRD-320
Solanum tuberosum (Potato),IRD-33
Solanum tuberosum (Potato),IRD-340
Solanum tuberosum (Potato),IRD-341
Solanum tuberosum (Potato),IRD-342
Solanum tuberosum (Potato),IRD-378
Solanum tuberosum (Potato),IRD-380
Solanum tuberosum (Potato),IRD-403
Solanum tuberosum (Potato),IRD-411
Solanum tuberosum (Potato),IRD-413
Solanum tuberosum (Potato),IRD-417
Solanum tuberosum (Potato),IRD-425
Solanum tuberosum (Potato),IRD-429
Solanum tuberosum (Potato),IRD-430
Solanum tuberosum (Potato),IRD-433
Solanum tuberosum (Potato),IRD-437
Solanum tuberosum (Potato),IRD-442
Solanum tuberosum (Potato),IRD-443
Solanum tuberosum (Potato),IRD-454
Solanum tuberosum (Potato),IRD-46
Solanum tuberosum (Potato),IRD-464
Solanum tuberosum (Potato),IRD-465
Solanum tuberosum (Potato),IRD-466
Solanum tuberosum (Potato),IRD-467
Solanum tuberosum (Potato),IRD-468
Solanum tuberosum (Potato),IRD-469
Solanum tuberosum (Potato),IRD-470
Solanum tuberosum (Potato),IRD-475
Solanum tuberosum (Potato),IRD-476
Solanum tuberosum (Potato),IRD-478
Solanum tuberosum (Potato),IRD-481
Solanum tuberosum (Potato),IRD-484
Solanum tuberosum (Potato),IRD-485
Solanum tuberosum (Potato),IRD-488
Solanum tuberosum (Potato),IRD-489
Solanum tuberosum (Potato),IRD-490
Solanum tuberosum (Potato),IRD-494
Solanum tuberosum (Potato),IRD-495
Solanum tuberosum (Potato),IRD-496
Solanum tuberosum (Potato),IRD-497
Solanum tuberosum (Potato),IRD-499
Solanum tuberosum (Potato),IRD-500
Solanum tuberosum (Potato),IRD-504
Solanum tuberosum (Potato),IRD-52
Solanum tuberosum (Potato),IRD-525
Solanum tuberosum (Potato),IRD-53
Solanum tuberosum (Potato),IRD-54
Solanum tuberosum (Potato),IRD-56
Solanum tuberosum (Potato),IRD-57
Solanum tuberosum (Potato),IRD-58
Solanum tuberosum (Potato),IRD-59
Solanum tuberosum (Potato),IRD-64
Solanum tuberosum (Potato),IRD-65
Solanum tuberosum (Potato),IRD-66
Solanum tuberosum (Potato),IRD-689
Solanum tuberosum (Potato),IRD-690
Solanum tuberosum (Potato),IRD-8
Solanum tuberosum (Potato),IRD-9
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-373
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-394
Sorghum bicolor (Sorghum) (Sorghum vulgare),IRD-396
Spinacia oleracea (Spinach),IRD-393
Triticum aestivum (Wheat),IRD-329
Triticum urartu (Red wild einkorn) (Crithodium urartu),IRD-329
Vitis vinifera (Grape),IRD-308
Zea mays (Maize),IRD-390
Zea mays (Maize),IRD-391
